dat_Subject,list,display_order,type,id,con,fab_stimulus,fab_question,fab_key,fab_instruction,fab_feedback,dat_Trial,dat_LoopNumber,dat_LoopSum,dat_AreaNumber,dat_AreaSum,dat_Ans,dat_AnsReactionTime,dat_Accuracy,dat_GD,dat_NRO,dat_NRI,dat_PRO,dat_PRI,dat_RPD,dat_SRPD,dat_RRT,dat_TRT,dat_NOF,dat_MFD
201,1,p6,practice,practice_6,,/+/The busy workers * who were * offered a delicious pizza * felt * not so hungry./,Did someone offer the workers a pizza?,Y,,1,6,1,1,1,1,Y,2140,1,1645,0,0,0.0000,0.0000,1645,1645,0,1645,1,1645
201,1,p6,practice,practice_6,,/+/The busy workers * who were * offered a delicious pizza * felt * not so hungry./,Did someone offer the workers a pizza?,Y,,1,6,2,13,1,3,Y,2140,1,928,0,1,0.0000,0.5000,928,928,631,1559,2,780
201,1,p6,practice,practice_6,,/+/The busy workers * who were * offered a delicious pizza * felt * not so hungry./,Did someone offer the workers a pizza?,Y,,1,6,2,13,2,2,Y,2140,1,649,1,1,0.3333,0.3333,649,649,1800,2449,3,816
201,1,p6,practice,practice_6,,/+/The busy workers * who were * offered a delicious pizza * felt * not so hungry./,Did someone offer the workers a pizza?,Y,,1,6,2,13,3,4,Y,2140,1,4252,1,0,0.5000,0.0000,8015,5584,1332,5584,2,2792
201,1,p6,practice,practice_6,,/+/The busy workers * who were * offered a delicious pizza * felt * not so hungry./,Did someone offer the workers a pizza?,Y,,1,6,2,13,4,1,Y,2140,1,1536,0,0,0.0000,0.0000,1536,1536,0,1536,1,1536
201,1,p6,practice,practice_6,,/+/The busy workers * who were * offered a delicious pizza * felt * not so hungry./,Did someone offer the workers a pizza?,Y,,1,6,2,13,5,3,Y,2140,1,2575,0,0,0.0000,0.0000,2575,2575,0,2575,1,2575
201,1,1,filler,filler_6,,/+/The girl sang very well through learning experiences from her tutor./,Did the girl's tutor do a lot of help? ,Y,练习结束，现在开始正式实验。,0,7,2,11,1,11,Y,4697,1,7457,0,0,0.0000,0.0000,7457,7457,0,7457,1,7457
201,1,2,filler,filler_7,,/+/Some important papers which lay in the office were stolen last night./,Were the papers still safe?,N,,0,8,1,1,1,1,N,3996,1,2904,0,0,0.0000,0.0000,2904,2904,0,2904,1,2904
201,1,2,filler,filler_7,,/+/Some important papers which lay in the office were stolen last night./,Were the papers still safe?,N,,0,8,2,12,1,12,N,3996,1,16343,0,0,0.0000,0.0000,16343,16343,0,16343,1,16343
201,1,3,target,target_1,G,/+/The cotton farmers * warned about the bad floods * had * no other crops./,Did the farmers warn about the floods?,N,,0,9,1,1,1,1,N,8036,1,1559,0,0,0.0000,0.0000,1559,1559,0,1559,1,1559
201,1,3,target,target_1,G,/+/The cotton farmers * warned about the bad floods * had * no other crops./,Did the farmers warn about the floods?,N,,0,9,2,12,1,3,N,8036,1,998,0,1,0.0000,0.5000,998,998,2141,3139,2,1570
201,1,3,target,target_1,G,/+/The cotton farmers * warned about the bad floods * had * no other crops./,Did the farmers warn about the floods?,N,,0,9,2,12,2,5,N,8036,1,3819,1,1,0.3333,0.3333,3819,3819,3961,7780,3,2593
201,1,3,target,target_1,G,/+/The cotton farmers * warned about the bad floods * had * no other crops./,Did the farmers warn about the floods?,N,,0,9,2,12,3,1,N,8036,1,688,1,1,0.3333,0.3333,688,688,736,1424,3,475
201,1,3,target,target_1,G,/+/The cotton farmers * warned about the bad floods * had * no other crops./,Did the farmers warn about the floods?,N,,0,9,2,12,4,3,N,8036,1,4363,1,0,0.5000,0.0000,12139,5301,938,5301,2,2651
201,1,4,filler,filler_10,,/+/There was a big hole in the road which blocked the traffic./,Was there a big hole in the road?,Y,,0,10,1,1,1,1,Y,1798,1,1043,0,0,0.0000,0.0000,1043,1043,0,1043,1,1043
201,1,4,filler,filler_10,,/+/There was a big hole in the road which blocked the traffic./,Was there a big hole in the road?,Y,,0,10,2,12,1,12,Y,1798,1,22927,0,0,0.0000,0.0000,22927,22927,0,22927,1,22927
201,1,5,target,target_2,C,/+/The sunburned boys * who were * served the hot dogs * got * a stomach ache./,Did the boys serve the hot dogs?,N,,0,11,1,1,1,1,N,22232,1,1118,0,0,0.0000,0.0000,1118,1118,0,1118,1,1118
201,1,5,target,target_2,C,/+/The sunburned boys * who were * served the hot dogs * got * a stomach ache./,Did the boys serve the hot dogs?,N,,0,11,2,13,1,3,N,22232,1,3865,0,1,0.0000,0.5000,3865,3865,1354,5219,2,2610
201,1,5,target,target_2,C,/+/The sunburned boys * who were * served the hot dogs * got * a stomach ache./,Did the boys serve the hot dogs?,N,,0,11,2,13,2,2,N,22232,1,610,1,2,0.2500,0.5000,610,610,1758,2368,4,592
201,1,5,target,target_2,C,/+/The sunburned boys * who were * served the hot dogs * got * a stomach ache./,Did the boys serve the hot dogs?,N,,0,11,2,13,3,4,N,22232,1,2035,2,2,0.4000,0.4000,2035,2035,7474,9509,5,1902
201,1,5,target,target_2,C,/+/The sunburned boys * who were * served the hot dogs * got * a stomach ache./,Did the boys serve the hot dogs?,N,,0,11,2,13,4,1,N,22232,1,2622,2,1,0.5000,0.2500,6710,3138,914,3536,4,884
201,1,5,target,target_2,C,/+/The sunburned boys * who were * served the hot dogs * got * a stomach ache./,Did the boys serve the hot dogs?,N,,0,11,2,13,5,3,N,22232,1,3797,1,0,0.5000,0.0000,12410,4998,1201,4998,2,2499
201,1,6,filler,filler_17,,/+/The students who failed the exam were asked to take it again./,Should all students take the exam again?,N,,0,12,2,12,1,12,Y,3356,0,3680,0,0,0.0000,0.0000,3680,3680,0,3680,1,3680
201,1,7,filler,filler_25,,/+/The suitcase which Mike bought has been broken down by his son./,Has the suitcase been broken by Mike?,N,,0,13,1,1,1,1,N,6678,1,1141,0,0,0.0000,0.0000,1141,1141,0,1141,1,1141
201,1,7,filler,filler_25,,/+/The suitcase which Mike bought has been broken down by his son./,Has the suitcase been broken by Mike?,N,,0,13,2,12,1,12,N,6678,1,5868,0,0,0.0000,0.0000,5868,5868,0,5868,1,5868
201,1,8,filler,filler_24,,/+/The roommate has married the man who comes from the west of China./,Has the roomate married?,Y,,0,14,1,1,1,1,Y,1484,1,3374,0,0,0.0000,0.0000,3374,3374,0,3374,1,3374
201,1,8,filler,filler_24,,/+/The roommate has married the man who comes from the west of China./,Has the roomate married?,Y,,0,14,2,13,1,13,Y,1484,1,15713,0,0,0.0000,0.0000,15713,15713,0,15713,1,15713
201,1,9,target,target_15,G,/+/The confused student * asked about a question * lowered * his head silently./,Did the student ask about a question?,N,,0,15,1,1,1,1,N,3886,1,1127,0,0,0.0000,0.0000,1127,1127,0,1127,1,1127
201,1,9,target,target_15,G,/+/The confused student * asked about a question * lowered * his head silently./,Did the student ask about a question?,N,,0,15,2,11,1,3,N,3886,1,1312,0,1,0.0000,0.5000,1312,1312,1920,3232,2,1616
201,1,9,target,target_15,G,/+/The confused student * asked about a question * lowered * his head silently./,Did the student ask about a question?,N,,0,15,2,11,2,4,N,3886,1,1303,1,1,0.3333,0.3333,1303,1303,2167,3470,3,1157
201,1,9,target,target_15,G,/+/The confused student * asked about a question * lowered * his head silently./,Did the student ask about a question?,N,,0,15,2,11,3,1,N,3886,1,393,1,2,0.2500,0.5000,393,393,4115,4508,4,1127
201,1,9,target,target_15,G,/+/The confused student * asked about a question * lowered * his head silently./,Did the student ask about a question?,N,,0,15,2,11,4,3,N,3886,1,929,2,0,0.6667,0.0000,14734,6532,5603,6532,3,2177
201,1,10,filler,filler_22,,/+/The girl's life was saved because the doctor acted so well./,Did the girl die?,N,,0,16,1,1,1,1,N,1907,1,1942,0,0,0.0000,0.0000,1942,1942,0,1942,1,1942
201,1,10,filler,filler_22,,/+/The girl's life was saved because the doctor acted so well./,Did the girl die?,N,,0,16,2,11,1,11,N,1907,1,5408,0,0,0.0000,0.0000,5408,5408,0,5408,1,5408
201,1,11,target,target_4,G,/+/The convicted criminal * watched at the railway station * was * following the boy./,Did someone watch the criminal?,Y,,0,17,1,1,1,1,Y,6773,1,1078,0,0,0.0000,0.0000,1078,1078,0,1078,1,1078
201,1,11,target,target_4,G,/+/The convicted criminal * watched at the railway station * was * following the boy./,Did someone watch the criminal?,Y,,0,17,2,12,1,3,Y,6773,1,1138,0,1,0.0000,0.5000,1138,1138,2152,3290,2,1645
201,1,11,target,target_4,G,/+/The convicted criminal * watched at the railway station * was * following the boy./,Did someone watch the criminal?,Y,,0,17,2,12,2,5,Y,6773,1,3855,1,1,0.3333,0.3333,3855,3855,4070,7925,3,2642
201,1,11,target,target_4,G,/+/The convicted criminal * watched at the railway station * was * following the boy./,Did someone watch the criminal?,Y,,0,17,2,12,3,1,Y,6773,1,553,1,1,0.3333,0.3333,553,553,758,1311,3,437
201,1,11,target,target_4,G,/+/The convicted criminal * watched at the railway station * was * following the boy./,Did someone watch the criminal?,Y,,0,17,2,12,4,3,Y,6773,1,4278,1,0,0.5000,0.0000,14598,7618,3340,7618,2,3809
201,1,12,filler,filler_35,,/+/The company building was completed successfully in the third quarter./,Was the company building completed?,Y,,0,18,1,1,1,1,Y,1780,1,3377,0,0,0.0000,0.0000,3377,3377,0,3377,1,3377
201,1,12,filler,filler_35,,/+/The company building was completed successfully in the third quarter./,Was the company building completed?,Y,,0,18,2,10,1,10,Y,1780,1,7731,0,0,0.0000,0.0000,7731,7731,0,7731,1,7731
201,1,13,target,target_8,C,/+/The older kids * who were * showed all the dances * felt * amazed at the party./,Did the older kids show the dances?,N,,0,19,1,1,1,1,N,4604,1,1406,0,0,0.0000,0.0000,1406,1406,0,1406,1,1406
201,1,13,target,target_8,C,/+/The older kids * who were * showed all the dances * felt * amazed at the party./,Did the older kids show the dances?,N,,0,19,2,14,1,3,N,4604,1,1215,0,0,0.0000,0.0000,1215,1215,0,1215,1,1215
201,1,13,target,target_8,C,/+/The older kids * who were * showed all the dances * felt * amazed at the party./,Did the older kids show the dances?,N,,0,19,2,14,2,2,N,4604,1,724,0,0,0.0000,0.0000,724,724,0,724,1,724
201,1,13,target,target_8,C,/+/The older kids * who were * showed all the dances * felt * amazed at the party./,Did the older kids show the dances?,N,,0,19,2,14,3,4,N,4604,1,2838,0,1,0.0000,0.5000,2838,2838,365,3203,2,1602
201,1,13,target,target_8,C,/+/The older kids * who were * showed all the dances * felt * amazed at the party./,Did the older kids show the dances?,N,,0,19,2,14,4,1,N,4604,1,598,1,1,0.3333,0.3333,598,598,771,1369,3,456
201,1,13,target,target_8,C,/+/The older kids * who were * showed all the dances * felt * amazed at the party./,Did the older kids show the dances?,N,,0,19,2,14,5,4,N,4604,1,6126,1,0,0.5000,0.0000,8529,7393,1267,7393,2,3697
201,1,14,filler,filler_27,,/+/The letter that came this morning was from a friendly classmate./,Did the letter arrive this morning?,Y,,0,20,1,1,1,1,Y,2124,1,1223,0,0,0.0000,0.0000,1223,1223,0,1223,1,1223
201,1,14,filler,filler_27,,/+/The letter that came this morning was from a friendly classmate./,Did the letter arrive this morning?,Y,,0,20,2,11,1,11,Y,2124,1,22591,0,0,0.0000,0.0000,22591,22591,0,22591,1,22591
201,1,15,filler,filler_15,,/+/The book contained many useful information which could benefit the health./,Could the book be helpful for health?,Y,,0,21,1,1,1,1,Y,3075,1,3540,0,0,0.0000,0.0000,3540,3540,0,3540,1,3540
201,1,15,filler,filler_15,,/+/The book contained many useful information which could benefit the health./,Could the book be helpful for health?,Y,,0,21,2,11,1,11,Y,3075,1,8108,0,0,0.0000,0.0000,8108,8108,0,8108,1,8108
201,1,16,target,target_6,G,/+/The six volunteers * taught the complicated procedure * became * very good students./,Did the volunteers teach the procedure?,N,,0,22,1,1,1,1,N,3185,1,2512,0,0,0.0000,0.0000,2512,2512,0,2512,1,2512
201,1,16,target,target_6,G,/+/The six volunteers * taught the complicated procedure * became * very good students./,Did the volunteers teach the procedure?,N,,0,22,2,11,1,3,N,3185,1,1165,0,0,0.0000,0.0000,1165,1165,0,1165,1,1165
201,1,16,target,target_6,G,/+/The six volunteers * taught the complicated procedure * became * very good students./,Did the volunteers teach the procedure?,N,,0,22,2,11,2,4,N,3185,1,2379,0,0,0.0000,0.0000,2379,2379,0,2379,1,2379
201,1,16,target,target_6,G,/+/The six volunteers * taught the complicated procedure * became * very good students./,Did the volunteers teach the procedure?,N,,0,22,2,11,3,1,N,3185,1,708,0,0,0.0000,0.0000,708,708,0,708,1,708
201,1,16,target,target_6,G,/+/The six volunteers * taught the complicated procedure * became * very good students./,Did the volunteers teach the procedure?,N,,0,22,2,11,4,3,N,3185,1,2949,0,0,0.0000,0.0000,2949,2949,0,2949,1,2949
201,1,17,filler,filler_5,,/+/The author said that the new book was based on a real story./,Was the book entirely imaginary? ,N,,0,23,1,1,1,1,N,4136,1,786,0,0,0.0000,0.0000,786,786,0,786,1,786
201,1,17,filler,filler_5,,/+/The author said that the new book was based on a real story./,Was the book entirely imaginary? ,N,,0,23,2,13,1,13,N,4136,1,16985,0,0,0.0000,0.0000,16985,16985,0,16985,1,16985
201,1,18,filler,filler_38,,/+/The gatekeeper refused to hand over the door key to the man./,Did the gatekeeper refuse to hand over the key?,Y,,0,24,2,12,1,12,Y,2826,1,7117,0,0,0.0000,0.0000,7117,7117,0,7117,1,7117
201,1,19,filler,filler_37,,/+/The tiger was caught after it ate two persons within one week./,Was the tiger caught?,Y,,0,25,1,1,1,1,Y,1468,1,1810,0,0,0.0000,0.0000,1810,1810,0,1810,1,1810
201,1,19,filler,filler_37,,/+/The tiger was caught after it ate two persons within one week./,Was the tiger caught?,Y,,0,25,2,12,1,12,Y,1468,1,5148,0,0,0.0000,0.0000,5148,5148,0,5148,1,5148
201,1,20,target,target_7,C,/+/The old man * who was * advised on the special diet * has * not responded./,Did the old man advise on the diet?,N,,0,26,1,1,1,1,N,3793,1,627,0,0,0.0000,0.0000,627,627,0,627,1,627
201,1,20,target,target_7,C,/+/The old man * who was * advised on the special diet * has * not responded./,Did the old man advise on the diet?,N,,0,26,2,13,1,3,N,3793,1,905,0,0,0.0000,0.0000,905,905,0,905,1,905
201,1,20,target,target_7,C,/+/The old man * who was * advised on the special diet * has * not responded./,Did the old man advise on the diet?,N,,0,26,2,13,2,2,N,3793,1,491,0,0,0.0000,0.0000,491,491,0,491,1,491
201,1,20,target,target_7,C,/+/The old man * who was * advised on the special diet * has * not responded./,Did the old man advise on the diet?,N,,0,26,2,13,3,5,N,3793,1,2159,0,1,0.0000,0.5000,2159,2159,1295,3454,2,1727
201,1,20,target,target_7,C,/+/The old man * who was * advised on the special diet * has * not responded./,Did the old man advise on the diet?,N,,0,26,2,13,4,1,N,3793,1,604,1,1,0.3333,0.3333,604,604,618,1222,3,407
201,1,20,target,target_7,C,/+/The old man * who was * advised on the special diet * has * not responded./,Did the old man advise on the diet?,N,,0,26,2,13,5,2,N,3793,1,4086,1,0,0.5000,0.0000,7168,5255,1169,5255,2,2628
201,1,21,filler,filler_18,,/+/The actual price of the clothes was much higher than the man had expected./,Was the price of the clothes low?,N,,0,27,2,14,1,14,N,6008,1,6050,0,0,0.0000,0.0000,6050,6050,0,6050,1,6050
201,1,22,target,target_9,G,/+/The famous scientist * awarded an academic prize * expressed * his excitement./,Did the scientist award a prize？,N,,0,28,1,1,1,1,N,9870,1,1597,0,0,0.0000,0.0000,1597,1597,0,1597,1,1597
201,1,22,target,target_9,G,/+/The famous scientist * awarded an academic prize * expressed * his excitement./,Did the scientist award a prize？,N,,0,28,2,10,1,3,N,9870,1,834,0,0,0.0000,0.0000,834,834,0,834,1,834
201,1,22,target,target_9,G,/+/The famous scientist * awarded an academic prize * expressed * his excitement./,Did the scientist award a prize？,N,,0,28,2,10,2,4,N,9870,1,1700,0,0,0.0000,0.0000,1700,1700,0,1700,1,1700
201,1,22,target,target_9,G,/+/The famous scientist * awarded an academic prize * expressed * his excitement./,Did the scientist award a prize？,N,,0,28,2,10,3,1,N,9870,1,576,0,0,0.0000,0.0000,576,576,0,576,1,576
201,1,22,target,target_9,G,/+/The famous scientist * awarded an academic prize * expressed * his excitement./,Did the scientist award a prize？,N,,0,28,2,10,4,2,N,9870,1,738,0,0,0.0000,0.0000,738,738,0,738,1,738
201,1,23,filler,filler_2,,/+/The small town near Taipei was famous for its rich seafood resources./,Was the small town famous?,Y,,0,29,2,12,1,12,Y,3654,1,14326,0,0,0.0000,0.0000,14326,14326,0,14326,1,14326
201,1,24,filler,filler_30,,/+/The pop star contributed four million to the Hope project yesterday./,Did the pop star donate money yesterday?,Y,,0,30,1,1,1,1,Y,3886,1,2782,0,0,0.0000,0.0000,2782,2782,0,2782,1,2782
201,1,24,filler,filler_30,,/+/The pop star contributed four million to the Hope project yesterday./,Did the pop star donate money yesterday?,Y,,0,30,2,11,1,11,Y,3886,1,5882,0,0,0.0000,0.0000,5882,5882,0,5882,1,5882
201,1,25,target,target_10,C,/+/The skilled hunters * who were * stopped killing wild animals * ended up * in prison./,Did somebody stop the hunters from killing?,Y,,0,31,2,13,1,3,Y,4729,1,1122,0,0,0.0000,0.0000,1122,1122,0,1122,1,1122
201,1,25,target,target_10,C,/+/The skilled hunters * who were * stopped killing wild animals * ended up * in prison./,Did somebody stop the hunters from killing?,Y,,0,31,2,13,2,2,Y,4729,1,594,0,0,0.0000,0.0000,594,594,0,594,1,594
201,1,25,target,target_10,C,/+/The skilled hunters * who were * stopped killing wild animals * ended up * in prison./,Did somebody stop the hunters from killing?,Y,,0,31,2,13,3,4,Y,4729,1,1836,0,0,0.0000,0.0000,1836,1836,0,1836,1,1836
201,1,25,target,target_10,C,/+/The skilled hunters * who were * stopped killing wild animals * ended up * in prison./,Did somebody stop the hunters from killing?,Y,,0,31,2,13,4,2,Y,4729,1,1690,0,0,0.0000,0.0000,1690,1690,0,1690,1,1690
201,1,25,target,target_10,C,/+/The skilled hunters * who were * stopped killing wild animals * ended up * in prison./,Did somebody stop the hunters from killing?,Y,,0,31,2,13,5,2,Y,4729,1,2664,0,0,0.0000,0.0000,2664,2664,0,2664,1,2664
201,1,26,filler,filler_21,,/+/The employees were willing to work in a nice environment./,Did the employees want to work in a poor environment?,N,,0,32,2,10,1,10,N,2859,1,11077,0,0,0.0000,0.0000,11077,11077,0,11077,1,11077
201,1,27,filler,filler_20,,/+/The woman's pretty dress was burned by those naughty boys./,Was the dress burned by the boys?,Y,,0,33,1,1,1,1,Y,2795,1,2793,0,0,0.0000,0.0000,2793,2793,0,2793,1,2793
201,1,27,filler,filler_20,,/+/The woman's pretty dress was burned by those naughty boys./,Was the dress burned by the boys?,Y,,0,33,2,10,1,10,Y,2795,1,3910,0,0,0.0000,0.0000,3910,3910,0,3910,1,3910
201,1,28,filler,filler_36,,/+/The biology expert argued that wild animals should be protected now./,Did the biology expert argue to pretect wild animals?,Y,,0,34,1,1,1,1,Y,3247,1,651,0,0,0.0000,0.0000,651,651,0,651,1,651
201,1,28,filler,filler_36,,/+/The biology expert argued that wild animals should be protected now./,Did the biology expert argue to pretect wild animals?,Y,,0,34,2,11,1,11,Y,3247,1,9625,0,0,0.0000,0.0000,9625,9625,0,9625,1,9625
201,1,29,target,target_18,C,/+/The young repairman * who was * paid for the bill * said * thanks to the hostress./,Did the repairman pay for the bill?,N,,0,35,1,1,1,1,N,2108,1,1852,0,0,0.0000,0.0000,1852,1852,0,1852,1,1852
201,1,29,target,target_18,C,/+/The young repairman * who was * paid for the bill * said * thanks to the hostress./,Did the repairman pay for the bill?,N,,0,35,2,14,1,3,N,2108,1,894,0,1,0.0000,0.5000,894,894,1048,1942,2,971
201,1,29,target,target_18,C,/+/The young repairman * who was * paid for the bill * said * thanks to the hostress./,Did the repairman pay for the bill?,N,,0,35,2,14,2,2,N,2108,1,723,1,0,0.5000,0.0000,2211,1163,440,1163,2,582
201,1,29,target,target_18,C,/+/The young repairman * who was * paid for the bill * said * thanks to the hostress./,Did the repairman pay for the bill?,N,,0,35,2,14,3,4,N,2108,1,1082,0,0,0.0000,0.0000,1082,1082,0,1082,1,1082
201,1,29,target,target_18,C,/+/The young repairman * who was * paid for the bill * said * thanks to the hostress./,Did the repairman pay for the bill?,N,,0,35,2,14,4,1,N,2108,1,393,0,0,0.0000,0.0000,393,393,0,393,1,393
201,1,29,target,target_18,C,/+/The young repairman * who was * paid for the bill * said * thanks to the hostress./,Did the repairman pay for the bill?,N,,0,35,2,14,5,4,N,2108,1,2319,0,0,0.0000,0.0000,2319,2319,0,2319,1,2319
201,1,30,filler,filler_33,,/+/The old fireman did not believe that his wife was capable of making decisions./,Did the fireman believe his wife in making decisions?,N,,0,36,1,1,1,1,N,2591,1,1606,0,0,0.0000,0.0000,1606,1606,0,1606,1,1606
201,1,30,filler,filler_33,,/+/The old fireman did not believe that his wife was capable of making decisions./,Did the fireman believe his wife in making decisions?,N,,0,36,2,14,1,14,N,2591,1,28280,0,0,0.0000,0.0000,28280,28280,0,28280,1,28280
201,1,31,target,target_12,G,/+/The new manager * promised a better office * worked * much harder./,Did someone promise the manager a office?,Y,,0,37,1,1,1,1,Y,11437,1,967,0,0,0.0000,0.0000,967,967,0,967,1,967
201,1,31,target,target_12,G,/+/The new manager * promised a better office * worked * much harder./,Did someone promise the manager a office?,Y,,0,37,2,10,1,3,Y,11437,1,929,0,1,0.0000,0.5000,929,929,1872,2801,2,1401
201,1,31,target,target_12,G,/+/The new manager * promised a better office * worked * much harder./,Did someone promise the manager a office?,Y,,0,37,2,10,2,4,Y,11437,1,1307,1,2,0.2500,0.5000,1307,1307,4408,5715,4,1429
201,1,31,target,target_12,G,/+/The new manager * promised a better office * worked * much harder./,Did someone promise the manager a office?,Y,,0,37,2,10,3,1,Y,11437,1,298,2,2,0.4000,0.4000,298,298,1235,1533,5,307
201,1,31,target,target_12,G,/+/The new manager * promised a better office * worked * much harder./,Did someone promise the manager a office?,Y,,0,37,2,10,4,2,Y,11437,1,3288,2,0,0.6667,0.0000,13126,5611,2323,5611,3,1870
201,1,32,filler,filler_26,,/+/The magazine was expanded greatly in the number of pages./,Was the magazine expanded?,Y,,0,38,2,10,1,10,Y,1531,1,5581,0,0,0.0000,0.0000,5581,5581,0,5581,1,5581
201,1,33,filler,filler_16,,/+/The student with blue eyes made many mistakes of all the class./,Did the student with blue eyes never make mistakes?,N,,0,39,1,1,1,1,Y,2389,0,1161,0,0,0.0000,0.0000,1161,1161,0,1161,1,1161
201,1,33,filler,filler_16,,/+/The student with blue eyes made many mistakes of all the class./,Did the student with blue eyes never make mistakes?,N,,0,39,2,12,1,12,Y,2389,0,16069,0,0,0.0000,0.0000,16069,16069,0,16069,1,16069
201,1,34,target,target_13,G,/+/An American teenager * refused to enter the bar * burst into * anger./,Did the teenager refuse to enter the bar?,N,,0,40,2,11,1,3,N,3668,1,1436,0,1,0.0000,0.5000,1436,1436,1472,2908,2,1454
201,1,34,target,target_13,G,/+/An American teenager * refused to enter the bar * burst into * anger./,Did the teenager refuse to enter the bar?,N,,0,40,2,11,2,5,N,3668,1,2184,1,1,0.3333,0.3333,2184,2184,6725,8909,3,2970
201,1,34,target,target_13,G,/+/An American teenager * refused to enter the bar * burst into * anger./,Did the teenager refuse to enter the bar?,N,,0,40,2,11,3,2,N,3668,1,1572,1,2,0.2500,0.5000,1572,1572,2001,3573,4,893
201,1,34,target,target_13,G,/+/An American teenager * refused to enter the bar * burst into * anger./,Did the teenager refuse to enter the bar?,N,,0,40,2,11,4,1,N,3668,1,3004,2,0,0.6667,0.0000,14277,4079,1075,4079,3,1360
201,1,35,filler,filler_13,,/+/The strange man on the subway sold fake watches to different passengers./,Did the strange man sell fake watches?,Y,,0,41,1,1,1,1,Y,2435,1,1194,0,0,0.0000,0.0000,1194,1194,0,1194,1,1194
201,1,35,filler,filler_13,,/+/The strange man on the subway sold fake watches to different passengers./,Did the strange man sell fake watches?,Y,,0,41,2,12,1,12,Y,2435,1,6817,0,0,0.0000,0.0000,6817,6817,0,6817,1,6817
201,1,36,filler,filler_19,,/+/The boss asked the salesman to give some explanations for his mistake./,Did the boss want an explanation from the salesman?,Y,,0,42,1,1,1,1,Y,2763,1,1456,0,0,0.0000,0.0000,1456,1456,0,1456,1,1456
201,1,36,filler,filler_19,,/+/The boss asked the salesman to give some explanations for his mistake./,Did the boss want an explanation from the salesman?,Y,,0,42,2,12,1,12,Y,2763,1,5955,0,0,0.0000,0.0000,5955,5955,0,5955,1,5955
201,1,37,target,target_20,C,/+/The foreign client * who was * answered about the contract * praised on * secretary's patience./,Did the client answer about the contract?,N,,0,43,1,1,1,1,N,10392,1,790,0,0,0.0000,0.0000,790,790,0,790,1,790
